5.22;32.561;6.059;100.425;220.808
5.22167;32.564;6.059;100.425;220.67
5.22333;32.567;6.059;100.425;220.532
5.225;32.57;6.059;100.425;220.394
5.22667;32.573;6.059;100.425;220.256
5.22833;32.576;6.059;100.425;220.118
5.23;32.579;6.059;100.425;219.981
5.23167;32.582;6.059;100.425;219.844
5.23333;32.585;6.059;100.424;219.708
5.235;32.588;6.059;100.424;219.572
5.23667;32.591;6.059;100.424;219.437
5.23833;32.594;6.059;100.424;219.301
5.24;32.597;6.059;100.424;219.166
5.24167;32.6;6.059;100.424;219.031
5.24333;32.603;6.059;100.424;218.897
5.245;32.606;6.059;100.424;218.763
5.24667;32.609;6.059;100.424;218.63
5.24833;32.612;6.059;100.424;218.498
5.25;32.615;6.059;100.424;218.366
5.25167;32.618;6.059;100.424;218.235
5.25333;32.621;6.059;100.424;218.104
5.255;32.624;6.059;100.424;217.975
5.25667;32.627;6.059;100.424;217.846
5.25833;32.63;6.059;100.424;217.718
5.26;32.633;6.059;100.424;217.592
5.26167;32.636;6.059;100.424;217.466
5.26333;32.639;6.059;100.424;217.341
5.265;32.642;6.059;100.424;217.217
5.26667;32.645;6.059;100.424;217.094
5.26833;32.648;6.059;100.423;216.973
5.27;32.651;6.059;100.423;216.853
5.27167;32.654;6.059;100.423;216.734
5.27333;32.657;6.059;100.423;216.617
5.275;32.66;6.059;100.423;216.501
5.27667;32.663;6.059;100.423;216.387
5.27833;32.666;6.059;100.423;216.273
5.28;32.669;6.059;100.423;216.161
5.28167;32.672;6.059;100.423;216.05
5.28333;32.675;6.059;100.423;215.941
5.285;32.678;6.059;100.423;215.834
5.28667;32.681;6.059;100.423;215.727
5.28833;32.684;6.059;100.423;215.622
5.29;32.687;6.059;100.423;215.518
5.29167;32.69;6.059;100.423;215.415
5.29333;32.693;6.059;100.423;215.314
5.295;32.696;6.059;100.423;215.214
5.29667;32.699;6.059;100.423;215.115
5.29833;32.702;6.059;100.423;215.018
5.3;32.705;6.059;100.423;214.921
5.30167;32.708;6.059;100.423;214.825
5.30333;32.711;6.059;100.423;214.731
5.305;32.714;6.059;100.422;214.639
5.30667;32.717;6.059;100.422;214.547
5.30833;32.72;6.059;100.422;214.457
5.31;32.723;6.059;100.422;214.368
5.31167;32.726;6.059;100.422;214.28
5.31333;32.729;6.059;100.422;214.193
5.315;32.732;6.059;100.422;214.107
5.31667;32.735;6.059;100.422;214.022
5.31833;32.738;6.059;100.422;213.939
5.32;32.741;6.059;100.422;213.856
5.32167;32.744;6.059;100.422;213.775
5.32333;32.747;6.059;100.422;213.695
5.325;32.75;6.059;100.422;213.616
5.32667;32.753;6.059;100.422;213.538
5.32833;32.756;6.059;100.422;213.461
5.33;32.759;6.059;100.422;213.385
5.33167;32.762;6.059;100.422;213.311
5.33333;32.765;6.059;100.422;213.237
5.335;32.768;6.059;100.422;213.165
5.33667;32.771;6.059;100.422;213.094
5.33833;32.774;6.059;100.422;213.023
5.34;32.777;6.059;100.421;212.953
5.34167;32.78;6.059;100.421;212.884
5.34333;32.783;6.059;100.421;212.817
5.345;32.786;6.059;100.421;212.751
5.34667;32.789;6.059;100.421;212.686
5.34833;32.792;6.059;100.421;212.621
5.35;32.795;6.059;100.421;212.557
5.35167;32.798;6.059;100.421;212.494
5.35333;32.801;6.059;100.421;212.432
5.355;32.804;6.059;100.421;212.372
5.35667;32.807;6.059;100.421;212.313
5.35833;32.81;6.059;100.421;212.254
5.36;32.813;6.059;100.421;212.197
5.36167;32.816;6.059;100.421;212.139
5.36333;32.819;6.059;100.421;212.083
5.365;32.822;6.059;100.421;212.028
5.36667;32.825;6.059;100.421;211.974
5.36833;32.828;6.059;100.421;211.921
5.37;32.831;6.059;100.421;211.869
5.37167;32.834;6.059;100.421;211.818
5.37333;32.837;6.059;100.421;211.767
5.375;32.84;6.059;100.42;211.717
5.37667;32.843;6.059;100.42;211.669
5.37833;32.846;6.059;100.42;211.621
5.38;32.849;6.059;100.42;211.574
5.38167;32.852;6.059;100.42;211.528
5.38333;32.855;6.059;100.42;211.483
5.385;32.858;6.059;100.42;211.439
5.38667;32.861;6.059;100.42;211.395
5.38833;32.864;6.059;100.42;211.352
5.39;32.867;6.059;100.42;211.31
5.39167;32.87;6.059;100.42;211.269
5.39333;32.873;6.059;100.42;211.229
5.395;32.876;6.059;100.42;211.19
5.39667;32.879;6.059;100.42;211.151
5.39833;32.882;6.059;100.42;211.113
5.4;32.885;6.059;100.42;211.076
5.40167;32.888;6.059;100.42;211.039
5.40333;32.891;6.059;100.42;211.004
5.405;32.894;6.059;100.42;210.969
5.40667;32.897;6.059;100.42;210.935
5.40833;32.9;6.059;100.42;210.902
5.41;32.903;6.059;100.419;210.869
5.41167;32.906;6.059;100.419;210.837
5.41333;32.909;6.059;100.419;210.806
5.415;32.912;6.059;100.419;210.775
5.41667;32.915;6.059;100.419;210.745
5.41833;32.918;6.059;100.419;210.717
5.42;32.921;6.059;100.419;210.689
5.42167;32.924;6.059;100.419;210.661
5.42333;32.927;6.059;100.419;210.634
5.425;32.93;6.059;100.419;210.607
5.42667;32.933;6.059;100.419;210.581
5.42833;32.936;6.059;100.419;210.557
5.43;32.939;6.059;100.419;210.534
5.43167;32.942;6.059;100.419;210.511
